City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tilichiki,RU,60.4667,166.1,18.75,71,60,21.52,broken clouds
80,Jamestown,US,42.097,-79.2353,6.71,84,0,4.61,clear sky
81,Cayenne,GF,4.9333,-52.3333,78.1,90,75,0.0,broken clouds
82,Saint-Philippe,RE,-21.3585,55.7679,81.99,75,85,9.71,overcast clouds
83,Bathsheba,BB,13.2167,-59.5167,75.81,78,40,14.97,scattered clouds
84,Makanya,TZ,-4.3667,37.8333,69.71,93,100,3.49,light rain
85,Hasaki,JP,35.7333,140.8333,48.29,48,80,12.57,broken clouds
86,Westport,US,41.1415,-73.3579,15.84,45,0,5.01,clear sky
87,Beringovskiy,RU,63.05,179.3167,-12.69,100,77,2.98,broken clouds
88,Fortuna,US,40.5982,-124.1573,47.66,94,100,0.0,overcast clouds
89,Alugan,PH,12.2188,125.4808,83.35,73,11,7.92,few clouds
90,Sun City West,US,33.662,-112.3413,64.92,27,100,3.0,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-9.89,97,51,3.06,broken clouds
92,Tyrma,RU,50.0833,132.1667,-4.5,81,50,1.81,scattered clouds
93,Provideniya,RU,64.3833,-173.3,3.54,84,19,4.79,few clouds
94,Sitka,US,57.0531,-135.33,35.49,80,100,5.75,light rain
95,Alofi,NU,-19.0595,-169.9187,80.92,75,100,8.68,moderate rain
96,Gongzhuling,CN,43.5008,124.8198,17.73,41,0,6.73,clear sky
97,Long Xuyen,VN,10.3833,105.4167,84.15,60,84,6.44,broken clouds
98,East London,ZA,-33.0153,27.9116,68.61,83,11,5.75,few clouds
99,Lasa,IT,46.6166,10.7002,38.14,92,13,9.26,few clouds
100,Constitucion,CL,-35.3333,-72.4167,56.89,93,62,6.85,broken clouds
101,Sindor,RU,62.8629,51.8905,12.24,95,100,6.6,overcast clouds
102,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,39,0,20.71,clear sky
103,Chitungwiza,ZW,-18.0127,31.0756,61.27,96,100,7.9,overcast clouds
104,Datong,CN,40.0936,113.2914,29.34,45,72,15.52,broken clouds
105,Sola,VU,-13.8833,167.55,81.73,79,100,15.61,heavy intensity rain
106,Kapaa,US,22.0752,-159.319,76.98,72,0,3.44,clear sky
107,Ponta Do Sol,PT,32.6667,-17.1,63.23,40,6,5.53,clear sky
108,Dongsheng,CN,39.8161,109.9776,15.66,41,0,26.51,clear sky
109,Kisangani,CD,0.5167,25.2,66.04,54,51,1.88,broken clouds
110,Mendi,PG,-6.1761,143.6513,64.81,72,100,4.76,overcast clouds
111,Acapulco,MX,16.8634,-99.8901,80.42,78,20,8.05,few clouds
112,Victoria,HK,22.2855,114.1577,67.24,64,67,1.01,broken clouds
113,Maniwaki,CA,46.3834,-75.966,-13.18,98,49,4.05,scattered clouds
114,Coihaique,CL,-45.5752,-72.0662,47.01,76,0,6.91,clear sky
115,Ust-Kut,RU,56.7938,105.7672,2.08,93,97,1.61,overcast clouds
116,Komsomolskiy,UZ,40.4272,71.7189,34.52,93,100,4.61,fog
117,Cabo San Lucas,MX,22.8909,-109.9124,67.95,63,5,6.93,clear sky
118,Avarua,CK,-21.2078,-159.775,82.45,74,20,8.05,few clouds
119,Faya,SA,18.3851,42.4509,50.52,83,7,3.47,clear sky
120,New Norfolk,AU,-42.7826,147.0587,82.65,30,0,3.0,clear sky
121,Kardla,EE,58.9978,22.7492,36.01,99,100,8.55,light snow
122,Gat,IL,31.61,34.7642,44.08,100,0,3.44,clear sky
123,Weiser,US,44.251,-116.9693,21.47,84,14,4.12,few clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,69.87,83,0,20.0,clear sky
125,Namibe,AO,-15.1961,12.1522,70.18,76,100,3.56,overcast clouds
126,Kultayevo,RU,57.8943,55.9392,-0.04,77,0,4.0,clear sky
127,Faanui,PF,-16.4833,-151.75,80.82,71,100,6.24,overcast clouds
128,Jeremie,HT,18.65,-74.1167,75.69,79,7,4.68,clear sky
129,Baruun-Urt,MN,46.6806,113.2792,3.96,73,95,9.31,overcast clouds
130,Peniche,PT,39.3558,-9.3811,54.93,44,68,9.1,broken clouds
131,Nanortalik,GL,60.1432,-45.2371,18.37,70,100,19.62,light snow
132,Wewak,PG,-3.5534,143.6268,83.97,75,71,14.81,broken clouds
133,Ballina,AU,-28.8667,153.5667,86.18,78,51,10.78,broken clouds
134,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,17.27,clear sky
135,Aksu,CN,41.1231,80.2644,29.1,42,87,3.31,overcast clouds
136,Caravelas,BR,-17.7125,-39.2481,76.98,87,40,8.1,scattered clouds
137,Barguzin,RU,53.6167,109.6167,-4.13,95,78,1.07,broken clouds
138,Manyana,BW,-23.4,21.7167,68.43,77,69,13.09,broken clouds
139,Sakakah,SA,29.9697,40.2064,41.45,53,0,7.7,clear sky
140,Ola,RU,59.5833,151.2833,18.91,76,100,12.84,overcast clouds
141,Taman,RU,45.2117,36.7161,32.34,68,9,14.72,clear sky
142,Dingle,PH,10.9995,122.6711,87.06,64,11,3.0,few clouds
143,Prince Rupert,CA,54.3161,-130.3201,39.29,93,100,4.61,overcast clouds
144,Itaituba,BR,-4.2761,-55.9836,71.11,100,100,0.94,overcast clouds
145,Namtsy,RU,62.7161,129.6658,-30.89,96,73,1.54,broken clouds
146,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,1,3.51,clear sky
147,Praya,CV,14.9215,-23.5087,69.64,75,100,16.31,overcast clouds
148,Saskylakh,RU,71.9167,114.0833,-19.17,100,99,3.53,overcast clouds
149,Nome,US,64.5011,-165.4064,-7.53,59,0,0.0,clear sky
150,Katsuura,JP,35.1333,140.3,48.11,55,98,11.65,overcast clouds
151,Taunggyi,MM,20.7833,97.0333,64.08,23,0,5.5,clear sky
152,Sangar,RU,63.9242,127.4739,-25.17,95,80,3.74,broken clouds
153,Puerto Ayora,EC,-0.7393,-90.3518,73.18,85,81,5.57,broken clouds
154,Port Lincoln,AU,-34.7333,135.8667,74.05,64,4,11.9,clear sky
155,Kloulklubed,PW,7.0419,134.2556,84.7,70,69,12.68,broken clouds
156,Greymouth,NZ,-42.4667,171.2,68.34,62,90,9.08,overcast clouds
157,Mehamn,NO,71.0357,27.8492,18.16,87,82,5.84,broken clouds
158,Melo,UY,-32.3667,-54.1833,60.46,82,1,7.72,clear sky
159,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.45,97,97,2.93,overcast clouds
160,Nantucket,US,41.2835,-70.0995,19.51,79,75,24.16,broken clouds
161,Homer,US,59.6425,-151.5483,22.89,85,75,16.11,broken clouds
162,Normandin,CA,48.8333,-72.5321,-3.55,87,100,8.39,overcast clouds
163,Plettenberg Bay,ZA,-34.0527,23.3716,63.99,86,3,1.05,clear sky
164,Dao,PH,11.3937,122.6856,86.85,65,13,2.06,few clouds
165,Korla,CN,41.7597,86.1469,27.14,43,100,3.04,overcast clouds
166,Lapeer,US,43.0514,-83.3188,16.21,73,75,5.75,broken clouds
167,Oranjemund,NA,-28.55,16.4333,64.2,90,42,6.58,scattered clouds
168,Bjornevatn,NO,69.6672,29.9847,-0.06,85,75,4.61,broken clouds
169,Byron Bay,AU,-28.65,153.6167,86.11,83,55,9.98,broken clouds
